track_id,album_id,date_id,sound_id,virality_id,main_artist_id,streams_1month,popularity
TR004987,ALB346296,20230915,4987,3,46,11527,41.0
TR004988,ALB489553,20180220,4988,3,46,10757,58.0
TR004989,ALB346296,20230915,4989,3,46,11201,48.0
TR004990,ALB442888,20170313,4990,3,46,10932,44.0
TR004991,ALB222528,20180220,4991,3,46,11245,39.0
TR004992,ALB862664,20190730,4992,3,46,9587,37.0
TR004993,ALB376862,20180220,4993,3,46,7452,57.0
TR004994,ALB346296,20240207,4994,3,46,8160,53.0
TR004995,ALB531859,20241018,4995,3,46,6288,52.0
TR004996,ALB514903,20190718,4996,1,46,8644,60.0
TR004997,ALB432941,20191115,4997,3,46,5646,74.0
TR004998,ALB346296,20230915,4998,3,46,6196,53.0
TR004999,ALB346296,20230915,4999,3,46,7420,34.0
TR005000,ALB371209,20210924,5000,3,46,6364,36.0
TR005001,ALB193214,20180220,5001,3,46,5806,45.0
TR005002,ALB992147,20180220,5002,3,46,5867,38.0
TR005003,ALB267337,20180220,5003,3,46,6699,0.0
TR005004,ALB371209,20210924,5004,3,46,5183,39.0
TR005005,ALB138626,20200203,5005,3,46,6106,34.0
TR005006,ALB666240,20180220,5006,3,46,4295,61.0
TR005007,ALB346296,20230915,5007,3,46,5569,33.0
TR005008,ALB578203,20200210,5008,3,46,5711,14.0
TR005009,ALB346296,20230915,5009,3,46,4376,31.0
TR005010,ALB211950,20250411,5010,3,46,4875,57.0
TR005011,ALB346296,20230915,5011,3,46,4343,28.0
TR005012,ALB432941,20180220,5012,4,46,5429,73.0
TR005013,ALB346296,20230915,5013,3,46,5083,35.0
TR005014,ALB399662,20170119,5014,3,46,5286,52.0
TR005015,ALB187335,20220129,5015,3,46,4406,16.0
TR005016,ALB533084,20180220,5016,3,46,4435,0.0
TR005017,ALB371209,20210824,5017,3,46,4095,38.0
TR005018,ALB371209,20210924,5018,3,46,4658,35.0
TR005019,ALB862664,20190730,5019,3,46,5133,35.0
TR005020,ALB578203,20200219,5020,3,46,5731,14.0
TR005021,ALB346296,20230915,5021,3,46,5348,31.0
TR005022,ALB653950,20230704,5022,3,46,4883,61.0
TR005023,ALB346296,20230915,5023,3,46,5921,29.0
TR005024,ALB187335,20231022,5024,1,46,5453,16.0
TR005025,ALB427707,20220624,5025,4,46,5877,37.0
TR005026,ALB844308,0,5026,3,46,5071,68.0
TR005027,ALB432941,20151210,5027,3,46,4531,74.0
TR005028,ALB564163,20230526,5028,4,46,4117,39.0
TR005029,ALB432941,20161219,5029,4,46,5469,74.0
TR005030,ALB846328,20161219,5030,4,46,4257,59.0
TR005031,ALB432941,20151210,5031,3,46,4620,74.0
TR005032,ALB489955,20161219,5032,1,46,5082,69.0
TR005033,ALB399662,20210429,5033,4,46,5143,33.0
TR005034,ALB228912,20161219,5034,4,46,5215,13.0
TR005035,ALB432941,20161219,5035,1,46,4347,78.0
TR005036,ALB844308,20180127,5036,3,46,4772,68.0
TR005037,ALB795611,20161219,5037,4,46,5252,67.0
TR005038,ALB861069,20230516,5038,4,46,5956,67.0
TR005039,ALB338223,20151210,5039,4,46,5471,65.0
TR005040,ALB183172,20161219,5040,4,46,5865,43.0
TR005041,ALB258131,20200321,5041,4,46,5538,2.0
TR005042,ALB167845,20151210,5042,4,46,5198,70.0
TR005043,ALB399662,20161219,5043,4,46,4397,52.0
TR005044,ALB844308,20151210,5044,4,46,5349,68.0
TR005045,ALB959501,20161216,5045,3,46,5263,88.0
TR005046,ALB200636,20151210,5046,4,46,5222,59.0
TR005047,ALB819301,20200314,5047,4,46,4992,22.0
TR005048,ALB432941,20161219,5048,4,46,5073,74.0
TR005049,ALB493841,20151210,5049,4,46,4683,69.0
TR005050,ALB634210,20161219,5050,4,46,5054,55.0
TR005051,ALB432941,20161219,5051,3,46,4408,74.0
TR005052,ALB490588,20161219,5052,3,46,5628,27.0
TR005053,ALB861929,20230129,5053,1,46,4384,52.0
TR005054,ALB947425,0,5054,4,46,4180,3.0
TR005055,ALB167845,20151210,5055,4,46,4888,70.0
TR005056,ALB694346,20151210,5056,1,46,5333,0.0
TR005057,ALB363737,20151210,5057,4,46,4889,21.0
TR005058,ALB882184,20190000,5058,4,46,4565,1.0
TR005059,ALB541515,20230614,5059,4,46,5131,1.0
TR005060,ALB659186,20220129,5060,3,46,4708,61.0
TR005061,ALB886431,20230129,5061,4,46,5882,1.0
TR005062,ALB346296,0,5062,4,46,5862,29.0
TR005063,ALB559344,20240830,5063,1,46,5017,25.0
TR005064,ALB432941,0,5064,1,46,4670,78.0
TR005065,ALB141827,20191018,5065,1,63,48300,30.0
TR005066,ALB591998,20180420,5066,2,63,28329,82.0
TR005067,ALB141827,20151019,5067,1,63,33503,30.0
TR005068,ALB367028,20190308,5068,1,63,24359,34.0
TR005069,ALB367028,20131002,5069,3,63,29449,34.0
TR005070,ALB367028,20170616,5070,3,63,16204,34.0
TR005071,ALB367028,20150526,5071,4,63,10536,20.0
TR005072,ALB778375,20150309,5072,3,63,10485,57.0
TR005073,ALB141827,20190329,5073,1,63,7732,24.0
TR005074,ALB870607,20180214,5074,3,63,6271,10.0
TR005075,ALB367028,20220506,5075,3,63,8733,34.0
TR005076,ALB141827,20190201,5076,3,63,6077,20.0
TR005077,ALB367028,20170623,5077,1,63,6243,34.0
TR005078,ALB122495,20220527,5078,3,63,4635,70.0
TR005079,ALB367028,20180420,5079,4,63,4979,34.0
TR005080,ALB367028,20161025,5080,2,63,4869,24.0
TR005081,ALB141827,20190329,5081,3,63,4162,17.0
TR005082,ALB400073,20190329,5082,3,63,4223,5.0
TR005083,ALB367028,20201113,5083,1,63,5690,34.0
TR005084,ALB367028,20170623,5084,3,63,4492,34.0
TR005085,ALB629123,20200828,5085,3,63,4401,33.0
TR005086,ALB367028,20161025,5086,1,63,5022,34.0
TR005087,ALB367028,20180413,5087,3,63,5551,34.0
TR005088,ALB141827,20190329,5088,3,63,4135,28.0
TR005089,ALB367028,20201113,5089,3,63,5167,34.0
TR005090,ALB367028,20230526,5090,1,63,4249,34.0
TR005091,ALB122495,20190329,5091,3,63,4084,70.0
TR005092,ALB635728,20190329,5092,3,63,4116,14.0
TR005093,ALB379385,20201113,5093,4,63,5685,37.0
TR005094,ALB472753,20161025,5094,3,63,4248,61.0
TR005095,ALB870607,20151209,5095,4,63,4102,10.0
TR005096,ALB367028,20250110,5096,4,63,4888,34.0
TR005097,ALB367028,20180420,5097,3,63,5703,34.0
TR005098,ALB755211,20160209,5098,4,63,4537,46.0
TR005099,ALB367028,20190329,5099,4,63,4856,34.0
TR005100,ALB141827,20180420,5100,4,63,4092,20.0
TR005101,ALB367028,20190329,5101,4,63,4909,34.0
TR005102,ALB367028,20160209,5102,3,63,5170,34.0
TR005103,ALB774648,20190329,5103,4,63,5155,5.0
TR005104,ALB367028,20220527,5104,3,63,4676,34.0
TR005105,ALB367028,20170623,5105,4,63,4642,34.0
TR005106,ALB516161,20180420,5106,3,63,4225,11.0
TR005107,ALB770312,20170623,5107,3,63,4745,11.0
TR005108,ALB367028,20241115,5108,4,63,4209,34.0
TR005109,ALB462783,20220527,5109,4,63,5546,20.0
TR005110,ALB122495,0,5110,3,63,5951,70.0
TR005111,ALB367028,20161025,5111,4,63,5956,12.0
TR005112,ALB329065,20241025,5112,1,63,5746,60.0
TR005113,ALB367028,20161025,5113,4,63,5216,34.0
TR005114,ALB824375,20161025,5114,4,63,5415,46.0
TR005115,ALB870607,20220527,5115,4,63,4583,10.0
TR005116,ALB978977,20180420,5116,4,63,5277,78.0
